epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_Li_f_mae,training_B_f_mae,training_S_f_mae,training_psavg_f_mae,training_Li_f_rmse,training_B_f_rmse,training_S_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_Li_f_mae,validation_B_f_mae,validation_S_f_mae,validation_psavg_f_mae,validation_Li_f_rmse,validation_B_f_rmse,validation_S_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
         1,   32.730,    0.005,           0.5889,         0.011907,          0.60081,         0.44,        0.625,        0.265,        0.743,        0.515,        0.507,        0.357,         0.97,        0.685,        0.671,         3.89,       0.0694,          0.40635,       0.00071922,          0.40707,        0.367,        0.519,        0.208,        0.686,        0.419,        0.438,        0.271,         0.88,        0.545,        0.565,        0.991,       0.0177
         2,   38.419,    0.005,          0.33688,       0.00086179,          0.33774,        0.323,        0.472,        0.179,        0.633,        0.364,        0.392,        0.237,        0.832,        0.484,        0.517,         1.04,       0.0185,          0.30929,       0.00031791,          0.30961,        0.307,        0.453,        0.165,        0.619,        0.345,        0.376,        0.218,         0.81,         0.46,        0.496,        0.659,       0.0118
         3,   43.075,    0.005,          0.29124,       0.00042058,          0.29166,        0.293,        0.439,        0.155,        0.591,        0.331,        0.359,        0.206,        0.788,        0.448,        0.481,        0.746,       0.0133,          0.28409,       0.00024063,          0.28433,        0.289,        0.434,         0.15,        0.595,        0.325,        0.357,        0.201,        0.785,         0.44,        0.475,        0.567,       0.0101
         4,   47.833,    0.005,          0.27566,       0.00046323,          0.27612,        0.281,        0.427,        0.146,        0.574,        0.317,        0.346,        0.195,        0.771,        0.436,        0.467,        0.761,       0.0136,          0.26921,       0.00019968,          0.26941,        0.278,        0.422,        0.143,        0.577,        0.314,        0.345,        0.193,        0.766,        0.428,        0.462,        0.515,      0.00919
         5,   51.699,    0.005,           0.2665,       0.00030616,          0.26681,        0.273,         0.42,         0.14,        0.563,        0.309,        0.337,        0.187,        0.764,        0.427,        0.459,        0.632,       0.0113,             0.26,       0.00017613,          0.26017,        0.271,        0.415,        0.138,        0.568,        0.306,        0.337,        0.186,        0.756,         0.42,        0.454,        0.481,      0.00859
         6,   54.647,    0.005,          0.25989,       0.00036748,          0.26025,        0.269,        0.415,        0.139,        0.555,        0.304,        0.333,        0.185,        0.754,        0.422,        0.454,        0.704,       0.0126,          0.25467,         0.000163,          0.25484,        0.268,        0.411,        0.136,        0.562,        0.302,        0.333,        0.183,        0.749,        0.416,        0.449,        0.457,      0.00817
         7,   60.349,    0.005,          0.25733,       0.00052611,          0.25786,        0.267,        0.413,        0.137,        0.551,        0.303,         0.33,        0.182,         0.75,        0.421,        0.451,        0.846,       0.0151,          0.25142,       0.00015753,          0.25158,        0.266,        0.408,        0.134,        0.558,          0.3,        0.331,        0.181,        0.745,        0.414,        0.446,        0.449,      0.00802
         8,   64.621,    0.005,          0.25483,       0.00027102,           0.2551,        0.265,        0.411,        0.136,        0.544,          0.3,        0.327,        0.182,        0.745,        0.419,        0.449,        0.591,       0.0106,           0.2483,       0.00014998,          0.24845,        0.264,        0.406,        0.134,        0.555,        0.297,        0.329,         0.18,         0.74,        0.411,        0.444,        0.433,      0.00773
         9,   70.996,    0.005,          0.25485,       0.00030496,          0.25516,        0.264,        0.411,        0.134,        0.549,          0.3,        0.328,        0.179,        0.749,        0.418,        0.449,        0.624,       0.0111,          0.24643,       0.00014691,          0.24657,        0.262,        0.404,        0.133,        0.553,        0.295,        0.327,        0.178,        0.738,        0.409,        0.442,        0.431,      0.00769
        10,   81.961,    0.005,          0.25214,       0.00030637,          0.25245,        0.263,        0.409,        0.133,        0.543,        0.298,        0.325,        0.179,        0.743,        0.417,        0.446,        0.634,       0.0113,          0.24513,       0.00014438,          0.24528,        0.262,        0.403,        0.132,        0.552,        0.295,        0.326,        0.177,        0.736,        0.409,        0.441,        0.426,       0.0076
        11,   91.938,    0.005,          0.25198,       0.00030018,          0.25228,        0.263,        0.409,        0.133,        0.545,        0.298,        0.325,        0.178,        0.744,        0.416,        0.446,        0.641,       0.0114,          0.24414,       0.00014295,          0.24428,        0.261,        0.402,        0.131,         0.55,        0.294,        0.325,        0.176,        0.735,        0.408,         0.44,        0.424,      0.00758
        12,   97.940,    0.005,          0.24989,       0.00023519,          0.25013,        0.261,        0.407,        0.132,        0.542,        0.295,        0.323,        0.177,        0.741,        0.414,        0.444,        0.549,       0.0098,            0.243,       0.00014174,          0.24314,         0.26,        0.401,        0.131,        0.549,        0.293,        0.324,        0.175,        0.734,        0.407,        0.439,        0.423,      0.00755
        13,  107.957,    0.005,          0.24928,       0.00020269,          0.24948,        0.261,        0.406,        0.132,        0.541,        0.296,        0.323,        0.177,         0.74,        0.414,        0.444,        0.513,      0.00916,          0.24214,       0.00013989,          0.24228,         0.26,        0.401,         0.13,        0.549,        0.293,        0.324,        0.175,        0.732,        0.406,        0.438,         0.42,       0.0075
        14,  112.703,    0.005,          0.24961,       0.00023167,          0.24984,        0.261,        0.407,        0.132,        0.541,        0.297,        0.323,        0.176,        0.742,        0.414,        0.444,        0.558,      0.00996,          0.24165,       0.00013901,          0.24179,        0.259,          0.4,         0.13,        0.548,        0.292,        0.323,        0.174,        0.732,        0.406,        0.437,         0.42,      0.00749
        15,  117.287,    0.005,          0.24754,       0.00024296,          0.24778,        0.259,        0.405,        0.131,        0.539,        0.294,        0.322,        0.176,        0.738,        0.413,        0.442,        0.563,       0.0101,          0.24089,       0.00013804,          0.24103,        0.259,          0.4,        0.129,        0.547,        0.292,        0.323,        0.174,        0.731,        0.405,        0.437,        0.419,      0.00747
        16,  121.709,    0.005,          0.24723,       0.00028916,          0.24752,        0.259,        0.405,        0.131,         0.54,        0.294,        0.322,        0.175,        0.739,        0.412,        0.442,        0.608,       0.0109,          0.24023,       0.00013613,          0.24036,        0.258,        0.399,        0.129,        0.547,        0.291,        0.322,        0.173,         0.73,        0.405,        0.436,        0.416,      0.00743
        17,  125.277,    0.005,          0.24829,       0.00031622,           0.2486,         0.26,        0.406,        0.131,        0.542,        0.295,        0.323,        0.176,         0.74,        0.413,        0.443,        0.641,       0.0114,          0.23994,       0.00013615,          0.24007,        0.258,        0.399,        0.128,        0.546,        0.291,        0.322,        0.173,         0.73,        0.404,        0.436,        0.417,      0.00745
        18,  128.220,    0.005,          0.24791,       0.00018749,           0.2481,        0.259,        0.405,        0.131,        0.539,        0.295,        0.322,        0.176,         0.74,        0.412,        0.443,        0.495,      0.00883,          0.23966,       0.00013526,          0.23979,        0.258,        0.398,        0.128,        0.546,        0.291,        0.322,        0.173,        0.729,        0.404,        0.435,        0.415,       0.0074
        19,  131.333,    0.005,          0.24746,       0.00018835,          0.24765,        0.259,        0.405,         0.13,        0.541,        0.294,        0.321,        0.174,        0.739,        0.412,        0.442,        0.495,      0.00884,          0.23924,       0.00013486,          0.23937,        0.257,        0.398,        0.128,        0.546,        0.291,        0.321,        0.172,        0.729,        0.404,        0.435,        0.415,      0.00741
        20,  134.281,    0.005,          0.24682,       0.00027309,          0.24709,        0.258,        0.404,         0.13,        0.539,        0.293,        0.321,        0.175,        0.738,        0.412,        0.442,        0.595,       0.0106,          0.23886,       0.00013435,          0.23899,        0.257,        0.398,        0.128,        0.546,         0.29,        0.321,        0.172,        0.728,        0.403,        0.435,        0.415,      0.00741
        21,  137.730,    0.005,          0.24515,       0.00018834,          0.24534,        0.258,        0.403,         0.13,        0.538,        0.292,         0.32,        0.174,        0.737,        0.409,         0.44,        0.492,      0.00879,          0.23853,       0.00013442,          0.23866,        0.257,        0.398,        0.128,        0.545,         0.29,        0.321,        0.172,        0.728,        0.403,        0.434,        0.416,      0.00743
        22,  140.790,    0.005,          0.24528,       0.00023766,          0.24551,        0.258,        0.403,         0.13,        0.538,        0.292,         0.32,        0.175,        0.737,        0.409,         0.44,        0.563,         0.01,          0.23801,       0.00013501,          0.23814,        0.257,        0.397,        0.127,        0.545,         0.29,        0.321,        0.172,        0.727,        0.403,        0.434,        0.415,      0.00742
        23,  143.737,    0.005,          0.24494,       0.00021827,          0.24515,        0.258,        0.403,         0.13,        0.538,        0.291,         0.32,        0.174,        0.737,        0.409,         0.44,         0.54,      0.00964,          0.23773,       0.00013464,          0.23787,        0.256,        0.397,        0.127,        0.545,        0.289,         0.32,        0.172,        0.727,        0.402,        0.434,        0.416,      0.00743
        24,  147.136,    0.005,          0.24687,       0.00026659,          0.24714,        0.258,        0.404,        0.129,        0.538,        0.293,         0.32,        0.174,        0.738,        0.412,        0.441,        0.621,       0.0111,          0.23749,       0.00013609,          0.23762,        0.256,        0.397,        0.127,        0.545,        0.289,         0.32,        0.171,        0.727,        0.402,        0.433,        0.417,      0.00744
        25,  150.093,    0.005,          0.24415,       0.00027429,          0.24442,        0.257,        0.402,        0.129,        0.538,        0.291,        0.319,        0.174,        0.737,        0.408,        0.439,        0.601,       0.0107,          0.23726,         0.000135,           0.2374,        0.256,        0.396,        0.127,        0.544,        0.289,         0.32,        0.171,        0.727,        0.402,        0.433,        0.417,      0.00744
        26,  153.871,    0.005,          0.24427,       0.00023359,          0.24451,        0.258,        0.402,         0.13,        0.538,        0.292,         0.32,        0.175,        0.735,        0.409,        0.439,        0.553,      0.00987,          0.23697,       0.00013467,          0.23711,        0.256,        0.396,        0.127,        0.544,        0.289,         0.32,        0.171,        0.726,        0.402,        0.433,        0.416,      0.00743
        27,  157.037,    0.005,          0.24365,       0.00030742,          0.24396,        0.257,        0.402,         0.13,        0.536,         0.29,        0.319,        0.174,        0.734,        0.408,        0.439,        0.646,       0.0115,          0.23664,       0.00013431,          0.23678,        0.256,        0.396,        0.127,        0.544,        0.289,         0.32,        0.171,        0.726,        0.401,        0.433,        0.415,      0.00741
